seed,split_seed,train_seed,subject,model,model_display,accuracy,f1,best_epoch,best_val_accuracy,best_val_loss,best_c
43,3471516181,3841826237,2,cfc,CfC-style,29.51388888888889,0.2564871385381905,34.0,40.909090909090914,1.345002293586731,
43,3471516181,3841826237,2,eegnet,EEGNet,31.944444444444443,0.2763722242669611,40.0,34.090909090909086,1.3695855140686035,
43,3471516181,3841826237,2,lstm,LSTM,21.52777777777778,0.1671727395411606,27.0,38.63636363636363,1.3753172159194946,
43,3471516181,3841826237,2,riemann_tslr,Riemann-TSLR,51.04166666666666,0.4635429587364591,,52.27272727272727,,0.1
43,3471516181,3841826237,2,shallow_convnet,Shallow ConvNet,43.40277777777778,0.390404263423541,35.0,61.36363636363637,1.2480543851852417,
43,129121643,4253877531,3,cfc,CfC-style,64.93055555555556,0.6317018487539934,53.0,72.72727272727273,0.8121597170829773,
43,129121643,4253877531,3,eegnet,EEGNet,67.36111111111111,0.62323375687656,76.0,65.9090909090909,0.8469907641410828,
43,129121643,4253877531,3,lstm,LSTM,51.04166666666666,0.4682183233088113,34.0,59.09090909090909,1.0524089336395264,
43,129121643,4253877531,3,riemann_tslr,Riemann-TSLR,79.86111111111111,0.7898805238878769,,84.0909090909091,,10.0
43,129121643,4253877531,3,shallow_convnet,Shallow ConvNet,78.81944444444444,0.772776127538888,29.0,86.36363636363636,0.5271798968315125,
43,1023095363,3576029631,4,cfc,CfC-style,39.23611111111111,0.3467756510309702,40.0,43.18181818181818,1.4050198793411257,
43,1023095363,3576029631,4,eegnet,EEGNet,44.79166666666667,0.4100779442211667,63.0,31.818181818181817,1.3798165321350098,
43,1023095363,3576029631,4,lstm,LSTM,39.58333333333333,0.3630602057384798,41.0,36.36363636363637,1.5475621223449707,
43,1023095363,3576029631,4,riemann_tslr,Riemann-TSLR,53.81944444444444,0.5363561782756988,,61.36363636363637,,0.1
43,1023095363,3576029631,4,shallow_convnet,Shallow ConvNet,59.375,0.5918033515461661,57.0,65.9090909090909,1.1805453300476074,
43,1450196821,1366325879,5,cfc,CfC-style,29.51388888888889,0.277837203847056,44.0,47.72727272727273,1.3115192651748655,
43,1450196821,1366325879,5,eegnet,EEGNet,26.73611111111111,0.262976774325421,49.0,38.63636363636363,1.3846791982650757,
43,1450196821,1366325879,5,lstm,LSTM,22.916666666666664,0.1917307621817115,33.0,31.818181818181817,1.382100224494934,
43,1450196821,1366325879,5,riemann_tslr,Riemann-TSLR,44.09722222222222,0.427549112767373,,36.36363636363637,,10.0
43,1450196821,1366325879,5,shallow_convnet,Shallow ConvNet,27.43055555555556,0.2454335608189482,9.0,52.27272727272727,1.3008347749710083,
43,2086763156,75773519,6,cfc,CfC-style,41.31944444444444,0.3964880115302733,23.0,52.27272727272727,1.3172979354858398,
43,2086763156,75773519,6,eegnet,EEGNet,38.88888888888889,0.3868298727393591,36.0,52.27272727272727,1.2628744840621948,
43,2086763156,75773519,6,lstm,LSTM,30.90277777777778,0.2825526156837425,31.0,38.63636363636363,1.3501766920089722,
43,2086763156,75773519,6,riemann_tslr,Riemann-TSLR,49.30555555555556,0.4801584753146505,,59.09090909090909,,1.0
43,2086763156,75773519,6,shallow_convnet,Shallow ConvNet,51.04166666666666,0.5047812930207469,38.0,70.45454545454545,0.9750782251358032,
43,788458171,391570789,7,cfc,CfC-style,31.944444444444443,0.2278769841269841,44.0,50.0,1.1595234870910645,
43,788458171,391570789,7,eegnet,EEGNet,32.29166666666667,0.2497638213180008,29.0,50.0,1.2376224994659424,
43,788458171,391570789,7,lstm,LSTM,34.72222222222222,0.3032383061794826,12.0,50.0,1.2944540977478027,
43,788458171,391570789,7,riemann_tslr,Riemann-TSLR,63.19444444444444,0.5869461486859502,,79.54545454545455,,0.1
43,788458171,391570789,7,shallow_convnet,Shallow ConvNet,68.05555555555556,0.6727365281777046,43.0,77.27272727272727,0.5969840884208679,
43,2563578824,385173880,8,cfc,CfC-style,53.81944444444444,0.5160832667928471,31.0,63.63636363636363,0.9757208228111268,
43,2563578824,385173880,8,eegnet,EEGNet,51.388888888888886,0.5093951277480689,39.0,65.9090909090909,0.9581397771835328,
43,2563578824,385173880,8,lstm,LSTM,34.375,0.2881708090147988,11.0,43.18181818181818,1.2833064794540403,
43,2563578824,385173880,8,riemann_tslr,Riemann-TSLR,62.84722222222222,0.632877205984152,,86.36363636363636,,0.1
43,2563578824,385173880,8,shallow_convnet,Shallow ConvNet,70.13888888888889,0.6990702447514748,22.0,88.63636363636364,0.3978852927684784,
43,4077714864,3749350782,9,cfc,CfC-style,50.34722222222222,0.4553964999818107,60.0,63.63636363636363,0.9887109994888306,
43,4077714864,3749350782,9,eegnet,EEGNet,56.94444444444444,0.5029650969791815,19.0,63.63636363636363,1.0434812307357788,
43,4077714864,3749350782,9,lstm,LSTM,43.75,0.3921112093525887,9.0,38.63636363636363,1.370749592781067,
43,4077714864,3749350782,9,riemann_tslr,Riemann-TSLR,67.01388888888889,0.6743840727825553,,72.72727272727273,,0.1
43,4077714864,3749350782,9,shallow_convnet,Shallow ConvNet,71.52777777777779,0.7106161494370371,19.0,81.81818181818183,0.5716752409934998,
