subject,model,accuracy,f1,best_epoch,best_val_accuracy,best_val_loss,best_c
9,tiny_transformer,65.27777777777779,0.6416553916553916,46.0,61.36363636363637,1.0347251892089844,
9,cfc,56.25,0.5333463023917537,73.0,65.9090909090909,0.9839260578155518,
9,lstm,48.95833333333333,0.4486033530884029,26.0,56.81818181818182,1.1686115264892578,
1,mi_mamba,67.70833333333334,0.6428226713160538,49.0,70.45454545454545,0.8034749627113342,
1,ss_cfc,47.56944444444444,0.4705235810736746,27.0,54.54545454545454,0.9352391958236694,
1,ss_head,58.68055555555556,0.5707112332112332,46.0,61.36363636363637,0.956507444381714,
2,mi_mamba,44.79166666666667,0.4136831520732449,42.0,54.54545454545454,1.082611918449402,
2,ss_cfc,23.958333333333336,0.2053060783483094,18.0,34.090909090909086,1.3666716814041138,
2,ss_head,25.694444444444443,0.2120065365763661,38.0,36.36363636363637,1.3869448900222778,
3,mi_mamba,69.79166666666666,0.6901271920129679,38.0,70.45454545454545,0.6909927725791931,
3,ss_cfc,49.65277777777778,0.4854102291031882,28.0,61.36363636363637,1.0547385215759275,
3,ss_head,61.458333333333336,0.5639069731386,74.0,72.72727272727273,0.9938026666641236,
4,mi_mamba,26.73611111111111,0.1864909749527033,5.0,38.63636363636363,1.374439358711243,
4,ss_cfc,35.76388888888889,0.2758518523688545,15.0,43.18181818181818,1.2908368110656738,
4,ss_head,40.97222222222222,0.3799385478037615,33.0,36.36363636363637,1.3448476791381836,
5,mi_mamba,26.73611111111111,0.2259826182628223,34.0,36.36363636363637,1.382193922996521,
5,ss_cfc,22.569444444444446,0.1425913810968405,19.0,34.090909090909086,1.3993316888809204,
5,ss_head,22.916666666666664,0.1058763931104356,3.0,36.36363636363637,1.4271836280822754,
6,mi_mamba,29.86111111111111,0.264538429681095,7.0,38.63636363636363,1.3753513097763062,
6,ss_cfc,30.90277777777778,0.2916739352980842,26.0,38.63636363636363,1.397166132926941,
6,ss_head,39.23611111111111,0.3822511307390339,38.0,43.18181818181818,1.3424659967422483,
7,mi_mamba,44.09722222222222,0.4055197556168851,53.0,59.09090909090909,1.0691760778427124,
7,ss_cfc,34.72222222222222,0.3013198402604404,49.0,45.45454545454545,1.2767890691757202,
7,ss_head,37.15277777777778,0.3277681060401509,34.0,43.18181818181818,1.3399772644042969,
8,mi_mamba,59.72222222222222,0.5864795294780714,54.0,79.54545454545455,0.6182780861854553,
8,ss_cfc,40.625,0.3868646102179036,7.0,63.63636363636363,1.207681655883789,
8,ss_head,60.41666666666666,0.616229396105378,61.0,79.54545454545455,0.9850547313690186,
9,mi_mamba,65.97222222222221,0.6100579213126964,26.0,61.36363636363637,1.013421893119812,
9,ss_cfc,59.02777777777778,0.5700172811059908,31.0,59.09090909090909,1.0413525104522705,
9,ss_head,54.513888888888886,0.5186432542748449,24.0,56.81818181818182,1.234517216682434,
