subject,model,perturbation,seed,accuracy,f1
2,hybrid_cfc,channel_dropout_30pct,3,27.77777777777778,0.18887607166253667
2,hybrid_cfc,band_limited_5db,4,25.0,0.1
2,hybrid_cfc,channel_dropout_30pct,4,23.26388888888889,0.13815103419930796
2,tiny_transformer,band_limited_5db,0,25.0,0.1
2,tiny_transformer,channel_dropout_30pct,0,32.63888888888889,0.2973216977888392
2,tiny_transformer,band_limited_5db,1,25.34722222222222,0.10731541597463386
2,tiny_transformer,channel_dropout_30pct,1,32.29166666666667,0.2941154486325871
2,tiny_transformer,band_limited_5db,2,24.65277777777778,0.09916201117318436
2,tiny_transformer,channel_dropout_30pct,2,34.02777777777778,0.32674294317984287
2,tiny_transformer,band_limited_5db,3,25.0,0.1
2,tiny_transformer,channel_dropout_30pct,3,30.90277777777778,0.2854114382615748
2,tiny_transformer,band_limited_5db,4,25.34722222222222,0.10731541597463386
2,tiny_transformer,channel_dropout_30pct,4,32.98611111111111,0.29551147315178666
2,cfc,band_limited_5db,0,25.694444444444443,0.11407217273139061
2,cfc,channel_dropout_30pct,0,25.34722222222222,0.2395085685683841
2,cfc,band_limited_5db,1,25.34722222222222,0.10759709289121054
2,cfc,channel_dropout_30pct,1,29.51388888888889,0.2835839449572035
2,cfc,band_limited_5db,2,25.694444444444443,0.11417366946778712
2,cfc,channel_dropout_30pct,2,30.208333333333332,0.28064253534026967
2,cfc,band_limited_5db,3,24.65277777777778,0.09943977591036414
2,cfc,channel_dropout_30pct,3,27.083333333333332,0.24025852006669335
2,cfc,band_limited_5db,4,25.34722222222222,0.10712786660052658
2,cfc,channel_dropout_30pct,4,27.430555555555557,0.2552384326233369
2,lstm,band_limited_5db,0,24.305555555555554,0.23832853865100045
2,lstm,channel_dropout_30pct,0,27.083333333333332,0.19450696050104063
2,lstm,band_limited_5db,1,25.694444444444443,0.25509964384556055
2,lstm,channel_dropout_30pct,1,25.34722222222222,0.1907520833615021
2,lstm,band_limited_5db,2,26.38888888888889,0.25804720862088304
2,lstm,channel_dropout_30pct,2,24.305555555555554,0.1679759262094305
2,lstm,band_limited_5db,3,23.61111111111111,0.23363224174031794
2,lstm,channel_dropout_30pct,3,22.22222222222222,0.15281895523831007
2,lstm,band_limited_5db,4,26.38888888888889,0.26128031342942115
2,lstm,channel_dropout_30pct,4,28.819444444444443,0.2086027348068909
3,shallow_convnet,band_limited_5db,0,64.23611111111111,0.6062681107938507
3,shallow_convnet,channel_dropout_30pct,0,50.0,0.4682267247484639
3,shallow_convnet,band_limited_5db,1,63.888888888888886,0.6002344105357804
3,shallow_convnet,channel_dropout_30pct,1,53.81944444444444,0.5090640813163965
3,shallow_convnet,band_limited_5db,2,64.93055555555556,0.6091413625992027
3,shallow_convnet,channel_dropout_30pct,2,51.736111111111114,0.4855011760036577
3,shallow_convnet,band_limited_5db,3,65.27777777777779,0.6081546084784077
3,shallow_convnet,channel_dropout_30pct,3,50.0,0.48130724932587443
3,shallow_convnet,band_limited_5db,4,64.93055555555556,0.605676422343089
3,shallow_convnet,channel_dropout_30pct,4,52.083333333333336,0.5021906554301975
3,riemann_tslr,band_limited_5db,0,34.02777777777778,0.23262522947810121
3,riemann_tslr,channel_dropout_30pct,0,27.083333333333332,0.2055639242378332
3,riemann_tslr,band_limited_5db,1,35.41666666666667,0.24047619047619045
3,riemann_tslr,channel_dropout_30pct,1,26.73611111111111,0.19500235909630018
3,riemann_tslr,band_limited_5db,2,35.06944444444444,0.2432987335455614
3,riemann_tslr,channel_dropout_30pct,2,26.041666666666668,0.19237133089236655
3,riemann_tslr,band_limited_5db,3,36.11111111111111,0.24580369843527738
3,riemann_tslr,channel_dropout_30pct,3,32.63888888888889,0.24785391398676113
3,riemann_tslr,band_limited_5db,4,35.06944444444444,0.23697916666666669
3,riemann_tslr,channel_dropout_30pct,4,25.694444444444443,0.17934723179689543
3,eegnet,band_limited_5db,0,26.041666666666668,0.12204462204462205
3,eegnet,channel_dropout_30pct,0,40.27777777777778,0.3284796204544434
3,eegnet,band_limited_5db,1,25.694444444444443,0.11492443243938517
3,eegnet,channel_dropout_30pct,1,36.80555555555556,0.3115522176900008
3,eegnet,band_limited_5db,2,26.041666666666668,0.12140845070422536
3,eegnet,channel_dropout_30pct,2,37.15277777777778,0.30011019283746554
3,eegnet,band_limited_5db,3,25.34722222222222,0.10797291057411113
3,eegnet,channel_dropout_30pct,3,40.27777777777778,0.3470040852074006
3,eegnet,band_limited_5db,4,26.38888888888889,0.12851000351000352
3,eegnet,channel_dropout_30pct,4,43.05555555555556,0.37809627702068216
3,hybrid_cfc,band_limited_5db,0,32.63888888888889,0.24522357723577237
3,hybrid_cfc,channel_dropout_30pct,0,40.97222222222222,0.3645925337101808
3,hybrid_cfc,band_limited_5db,1,32.63888888888889,0.24672390936328814
3,hybrid_cfc,channel_dropout_30pct,1,43.05555555555556,0.400022179489998
3,hybrid_cfc,band_limited_5db,2,30.90277777777778,0.2233293559353594
3,hybrid_cfc,channel_dropout_30pct,2,38.88888888888889,0.3648454002023156
3,hybrid_cfc,band_limited_5db,3,31.944444444444443,0.24292030969446898
3,hybrid_cfc,channel_dropout_30pct,3,41.66666666666667,0.37747753070689216
3,hybrid_cfc,band_limited_5db,4,33.33333333333333,0.2625091764909099
3,hybrid_cfc,channel_dropout_30pct,4,38.54166666666667,0.3516531713900135
3,tiny_transformer,band_limited_5db,0,34.375,0.271190624125749
3,tiny_transformer,channel_dropout_30pct,0,44.44444444444444,0.43099278057557905
3,tiny_transformer,band_limited_5db,1,35.41666666666667,0.2832784070330199
3,tiny_transformer,channel_dropout_30pct,1,36.80555555555556,0.36108204647135234
3,tiny_transformer,band_limited_5db,2,32.63888888888889,0.2500474031920613
3,tiny_transformer,channel_dropout_30pct,2,37.15277777777778,0.3678560446357967
3,tiny_transformer,band_limited_5db,3,34.375,0.2686569157817405
3,tiny_transformer,channel_dropout_30pct,3,32.63888888888889,0.302466123247797
3,tiny_transformer,band_limited_5db,4,35.41666666666667,0.2843161757048961
3,tiny_transformer,channel_dropout_30pct,4,40.27777777777778,0.399558993637941
3,cfc,band_limited_5db,0,47.56944444444444,0.4688002473716759
3,cfc,channel_dropout_30pct,0,42.01388888888889,0.38667660787301916
3,cfc,band_limited_5db,1,49.30555555555556,0.48003288316200865
3,cfc,channel_dropout_30pct,1,40.97222222222222,0.38709064156151934
3,cfc,band_limited_5db,2,46.52777777777778,0.45086935825470664
3,cfc,channel_dropout_30pct,2,37.5,0.3419701430240565
3,cfc,band_limited_5db,3,52.083333333333336,0.5119510993097838
3,cfc,channel_dropout_30pct,3,40.97222222222222,0.3700397938915263
3,cfc,band_limited_5db,4,44.44444444444444,0.42934878294204665
3,cfc,channel_dropout_30pct,4,33.33333333333333,0.29903727033736693
3,lstm,band_limited_5db,0,49.65277777777778,0.4897485889948892
3,lstm,channel_dropout_30pct,0,32.63888888888889,0.2638166097468423
3,lstm,band_limited_5db,1,47.56944444444444,0.4622207294621088
3,lstm,channel_dropout_30pct,1,30.90277777777778,0.2519097837646225
3,lstm,band_limited_5db,2,50.0,0.4911840848218094
3,lstm,channel_dropout_30pct,2,35.76388888888889,0.3065411157611446
3,lstm,band_limited_5db,3,50.69444444444444,0.4986011622630392
3,lstm,channel_dropout_30pct,3,34.72222222222222,0.29006050814193995
3,lstm,band_limited_5db,4,50.34722222222222,0.48903213422761205
3,lstm,channel_dropout_30pct,4,34.02777777777778,0.29231248877281707
4,shallow_convnet,band_limited_5db,0,36.80555555555556,0.35085261286634284
4,shallow_convnet,channel_dropout_30pct,0,43.40277777777778,0.4315839940710129
4,shallow_convnet,band_limited_5db,1,35.76388888888889,0.34024715946929696
4,shallow_convnet,channel_dropout_30pct,1,39.58333333333333,0.3859302574114659
4,shallow_convnet,band_limited_5db,2,36.80555555555556,0.34156466028487814
4,shallow_convnet,channel_dropout_30pct,2,40.625,0.39231317335449395
4,shallow_convnet,band_limited_5db,3,39.93055555555556,0.3835890167327065
4,shallow_convnet,channel_dropout_30pct,3,40.625,0.40031376749019326
4,shallow_convnet,band_limited_5db,4,38.54166666666667,0.36616780177414787
4,shallow_convnet,channel_dropout_30pct,4,38.19444444444444,0.3702920905030408
4,riemann_tslr,band_limited_5db,0,25.34722222222222,0.10712786660052658
4,riemann_tslr,channel_dropout_30pct,0,25.34722222222222,0.20335548172757473
4,riemann_tslr,band_limited_5db,1,25.694444444444443,0.11407217273139061
4,riemann_tslr,channel_dropout_30pct,1,25.0,0.21100243925321327
4,riemann_tslr,band_limited_5db,2,25.0,0.1
4,riemann_tslr,channel_dropout_30pct,2,30.208333333333332,0.2462387863550654
4,riemann_tslr,band_limited_5db,3,25.34722222222222,0.10731541597463386
4,riemann_tslr,channel_dropout_30pct,3,25.694444444444443,0.20461551186080146
4,riemann_tslr,band_limited_5db,4,25.0,0.1
4,riemann_tslr,channel_dropout_30pct,4,26.041666666666668,0.20251993700157495
4,eegnet,band_limited_5db,0,28.125,0.24682274386782357
4,eegnet,channel_dropout_30pct,0,31.25,0.28400689357714654
4,eegnet,band_limited_5db,1,29.86111111111111,0.24895305320005684
4,eegnet,channel_dropout_30pct,1,39.23611111111111,0.3580099735128269
4,eegnet,band_limited_5db,2,30.555555555555557,0.25692353887729724
4,eegnet,channel_dropout_30pct,2,34.72222222222222,0.30885496617203934
4,eegnet,band_limited_5db,3,27.430555555555557,0.22930602801664943
4,eegnet,channel_dropout_30pct,3,34.375,0.3220751505021898
4,eegnet,band_limited_5db,4,26.38888888888889,0.2210049244025741
4,eegnet,channel_dropout_30pct,4,36.45833333333333,0.3325651621106166
4,hybrid_cfc,band_limited_5db,0,35.41666666666667,0.2961011980393406
4,hybrid_cfc,channel_dropout_30pct,0,34.02777777777778,0.32992853323861165
4,hybrid_cfc,band_limited_5db,1,34.02777777777778,0.28323089466587226
4,hybrid_cfc,channel_dropout_30pct,1,31.944444444444443,0.3071304159679775
4,hybrid_cfc,band_limited_5db,2,33.33333333333333,0.27951014127484713
4,hybrid_cfc,channel_dropout_30pct,2,29.51388888888889,0.2788805853854153
4,hybrid_cfc,band_limited_5db,3,34.02777777777778,0.2837526002997003
4,hybrid_cfc,channel_dropout_30pct,3,27.77777777777778,0.27293530564965296
4,hybrid_cfc,band_limited_5db,4,32.29166666666667,0.27167601762591775
4,hybrid_cfc,channel_dropout_30pct,4,29.166666666666668,0.2914267523485601
4,tiny_transformer,band_limited_5db,0,30.208333333333332,0.21937610229276894
4,tiny_transformer,channel_dropout_30pct,0,29.51388888888889,0.2266038732246027
4,tiny_transformer,band_limited_5db,1,31.25,0.2333645426750093
4,tiny_transformer,channel_dropout_30pct,1,30.555555555555557,0.23102136337186885
4,tiny_transformer,band_limited_5db,2,31.59722222222222,0.24608936082395844
4,tiny_transformer,channel_dropout_30pct,2,32.63888888888889,0.2527654618353497
4,tiny_transformer,band_limited_5db,3,32.98611111111111,0.2532468860979043
4,tiny_transformer,channel_dropout_30pct,3,30.208333333333332,0.22333006403553976
4,tiny_transformer,band_limited_5db,4,30.90277777777778,0.2277098126993928
4,tiny_transformer,channel_dropout_30pct,4,25.0,0.17809664246823956
4,cfc,band_limited_5db,0,37.5,0.29167213138849535
4,cfc,channel_dropout_30pct,0,34.72222222222222,0.2617305198586576
4,cfc,band_limited_5db,1,38.88888888888889,0.3115702990936208
4,cfc,channel_dropout_30pct,1,28.125,0.20397803700744205
4,cfc,band_limited_5db,2,37.5,0.304000437863142
4,cfc,channel_dropout_30pct,2,26.38888888888889,0.19406130268199234
4,cfc,band_limited_5db,3,39.23611111111111,0.3256941330134314
4,cfc,channel_dropout_30pct,3,33.33333333333333,0.2597551426064916
4,cfc,band_limited_5db,4,40.625,0.339502490606056
4,cfc,channel_dropout_30pct,4,30.208333333333332,0.2194630432842757
4,lstm,band_limited_5db,0,38.54166666666667,0.30229311603339565
4,lstm,channel_dropout_30pct,0,31.944444444444443,0.2346435361869414
4,lstm,band_limited_5db,1,37.15277777777778,0.2848453468758489
4,lstm,channel_dropout_30pct,1,27.77777777777778,0.18459067380811037
4,lstm,band_limited_5db,2,40.27777777777778,0.3191417050691244
4,lstm,channel_dropout_30pct,2,32.63888888888889,0.2330996756281269
4,lstm,band_limited_5db,3,38.88888888888889,0.3019915366942071
4,lstm,channel_dropout_30pct,3,32.98611111111111,0.24234487815884476
4,lstm,band_limited_5db,4,39.93055555555556,0.3027128747132617
4,lstm,channel_dropout_30pct,4,30.90277777777778,0.2107520699237611
5,shallow_convnet,band_limited_5db,0,24.305555555555554,0.12752846022052988
5,shallow_convnet,channel_dropout_30pct,0,26.73611111111111,0.22734872233304837
5,shallow_convnet,band_limited_5db,1,25.0,0.1461780929866036
5,shallow_convnet,channel_dropout_30pct,1,27.77777777777778,0.23532863489948885
5,shallow_convnet,band_limited_5db,2,25.34722222222222,0.14049467063270743
5,shallow_convnet,channel_dropout_30pct,2,30.208333333333332,0.2535437620024086
5,shallow_convnet,band_limited_5db,3,26.73611111111111,0.146504774308071
5,shallow_convnet,channel_dropout_30pct,3,30.555555555555557,0.26241044780310263
5,shallow_convnet,band_limited_5db,4,27.77777777777778,0.17262451079722668
5,shallow_convnet,channel_dropout_30pct,4,24.305555555555554,0.19364885760621764
5,riemann_tslr,band_limited_5db,0,25.34722222222222,0.10712786660052658
5,riemann_tslr,channel_dropout_30pct,0,22.569444444444446,0.18980212001089078
5,riemann_tslr,band_limited_5db,1,25.0,0.10027855153203342
5,riemann_tslr,channel_dropout_30pct,1,26.38888888888889,0.2221907683239424
5,riemann_tslr,band_limited_5db,2,24.65277777777778,0.0988857938718663
5,riemann_tslr,channel_dropout_30pct,2,26.73611111111111,0.21447717637559136
5,riemann_tslr,band_limited_5db,3,25.0,0.1
5,riemann_tslr,channel_dropout_30pct,3,25.694444444444443,0.21633343270086347
5,riemann_tslr,band_limited_5db,4,25.0,0.1
5,riemann_tslr,channel_dropout_30pct,4,31.59722222222222,0.2592892508173838
5,eegnet,band_limited_5db,0,28.819444444444443,0.22869904879874828
5,eegnet,channel_dropout_30pct,0,27.77777777777778,0.2654780700962967
5,eegnet,band_limited_5db,1,25.694444444444443,0.19186148818501758
5,eegnet,channel_dropout_30pct,1,27.083333333333332,0.2639286911345735
5,eegnet,band_limited_5db,2,27.77777777777778,0.22353522300068351
