subject,model,perturbation,accuracy,f1
7,eegnet,channel_dropout_30pct,31.527777777777782,0.2312283784627105
7,hybrid_cfc,band_limited_5db,25.069444444444446,0.10153699393291868
7,hybrid_cfc,channel_dropout_30pct,31.319444444444446,0.26304688341817484
7,lstm,band_limited_5db,36.80555555555556,0.32238401458856847
7,lstm,channel_dropout_30pct,32.56944444444444,0.3018920492400784
7,riemann_tslr,band_limited_5db,25.90277777777778,0.11930898119728403
7,riemann_tslr,channel_dropout_30pct,30.069444444444446,0.24957599203521852
7,shallow_convnet,band_limited_5db,25.416666666666664,0.10851752560758834
7,shallow_convnet,channel_dropout_30pct,34.375,0.24938897498786378
7,tiny_transformer,band_limited_5db,25.208333333333332,0.10497036386033472
7,tiny_transformer,channel_dropout_30pct,31.875,0.2970263270622779
8,cfc,band_limited_5db,59.375,0.5839648846718328
8,cfc,channel_dropout_30pct,38.05555555555556,0.34078252140117893
8,eegnet,band_limited_5db,39.02777777777778,0.2985136559301004
8,eegnet,channel_dropout_30pct,36.66666666666667,0.35276406226371354
8,hybrid_cfc,band_limited_5db,44.375,0.32842435136932424
8,hybrid_cfc,channel_dropout_30pct,35.34722222222222,0.3495436011255213
8,lstm,band_limited_5db,45.90277777777778,0.4544624293249585
8,lstm,channel_dropout_30pct,32.08333333333333,0.25838263830449115
8,riemann_tslr,band_limited_5db,25.0,0.1
8,riemann_tslr,channel_dropout_30pct,27.708333333333332,0.21624710024119392
8,shallow_convnet,band_limited_5db,67.56944444444444,0.6678448405247355
8,shallow_convnet,channel_dropout_30pct,47.708333333333336,0.46479826541987757
8,tiny_transformer,band_limited_5db,58.125,0.5690176076450377
8,tiny_transformer,channel_dropout_30pct,37.56944444444444,0.33159191426506407
9,cfc,band_limited_5db,51.875,0.4577887568337996
9,cfc,channel_dropout_30pct,47.5,0.4366815530114426
9,eegnet,band_limited_5db,42.36111111111111,0.3499021049328971
9,eegnet,channel_dropout_30pct,50.13888888888889,0.4644062901169188
9,hybrid_cfc,band_limited_5db,36.736111111111114,0.3035556930595261
9,hybrid_cfc,channel_dropout_30pct,47.43055555555556,0.46295760787637363
9,lstm,band_limited_5db,50.416666666666664,0.45886379112829
9,lstm,channel_dropout_30pct,33.95833333333333,0.28260437338598565
9,riemann_tslr,band_limited_5db,25.208333333333332,0.10427671996031596
9,riemann_tslr,channel_dropout_30pct,27.013888888888893,0.24259076667693869
9,shallow_convnet,band_limited_5db,64.09722222222221,0.625163035458082
9,shallow_convnet,channel_dropout_30pct,52.5,0.5302573189091235
9,tiny_transformer,band_limited_5db,44.72222222222222,0.36719273570431726
9,tiny_transformer,channel_dropout_30pct,42.083333333333336,0.39337532223420996
