subject,model,perturbation_type,level,accuracy,f1
2,lstm,band_limited_noise,20.0,23.541666666666664,0.20800943184944024
3,lstm,band_limited_noise,20.0,50.97222222222222,0.5013774497686406
4,lstm,band_limited_noise,20.0,37.91666666666667,0.27896156901509384
5,lstm,band_limited_noise,20.0,26.180555555555554,0.2500953736064378
6,lstm,band_limited_noise,20.0,27.22222222222222,0.15676517275573082
7,lstm,band_limited_noise,20.0,34.65277777777778,0.28292780885392277
8,lstm,band_limited_noise,20.0,54.44444444444444,0.5382445188628645
9,lstm,band_limited_noise,20.0,42.98611111111111,0.40722375429132407
1,riemann_tslr,band_limited_noise,20.0,60.625,0.5649783584706812
2,riemann_tslr,band_limited_noise,20.0,43.81944444444444,0.39094118090832286
3,riemann_tslr,band_limited_noise,20.0,76.73611111111111,0.7682045075627033
4,riemann_tslr,band_limited_noise,20.0,47.708333333333336,0.42328148482852085
5,riemann_tslr,band_limited_noise,20.0,36.94444444444444,0.3167171259135427
6,riemann_tslr,band_limited_noise,20.0,46.94444444444444,0.454555639174954
7,riemann_tslr,band_limited_noise,20.0,61.25,0.6066156553412269
8,riemann_tslr,band_limited_noise,20.0,59.375,0.5713143576371373
9,riemann_tslr,band_limited_noise,20.0,60.13888888888889,0.5882096349465776
1,shallow_convnet,band_limited_noise,20.0,70.76388888888889,0.7079479218760596
2,shallow_convnet,band_limited_noise,20.0,44.51388888888889,0.39269505195633075
3,shallow_convnet,band_limited_noise,20.0,80.41666666666667,0.7956157578160565
4,shallow_convnet,band_limited_noise,20.0,54.93055555555556,0.5484303406397336
5,shallow_convnet,band_limited_noise,20.0,27.986111111111107,0.25716475338724176
6,shallow_convnet,band_limited_noise,20.0,47.777777777777786,0.47428770144833887
7,shallow_convnet,band_limited_noise,20.0,59.44444444444444,0.5557653847604719
8,shallow_convnet,band_limited_noise,20.0,75.48611111111111,0.7538248370614294
9,shallow_convnet,band_limited_noise,20.0,72.56944444444444,0.7242311804800667
1,cfc,channel_dropout,0.1,49.02777777777778,0.4901033884512316
2,cfc,channel_dropout,0.1,29.166666666666668,0.27235725047310194
3,cfc,channel_dropout,0.1,54.166666666666664,0.5189401688247448
4,cfc,channel_dropout,0.1,38.611111111111114,0.35008125203409285
5,cfc,channel_dropout,0.1,26.111111111111107,0.25817212117181076
6,cfc,channel_dropout,0.1,28.333333333333332,0.22516761219623826
7,cfc,channel_dropout,0.1,36.666666666666664,0.28877269684379814
8,cfc,channel_dropout,0.1,50.97222222222222,0.5024285837177352
9,cfc,channel_dropout,0.1,59.86111111111111,0.5755096205714455
1,eegnet,channel_dropout,0.1,56.31944444444444,0.5398731792895329
2,eegnet,channel_dropout,0.1,29.583333333333336,0.21510586178970748
3,eegnet,channel_dropout,0.1,59.166666666666664,0.5488840640142996
4,eegnet,channel_dropout,0.1,37.708333333333336,0.36163592850840004
