subject,model,condition,shuffle_seed,accuracy,f1
6,cfc,temporal_shuffle,0,24.65277777777778,0.10609756097560977
6,cfc,temporal_shuffle,1,24.305555555555554,0.09831460674157304
6,cfc,temporal_shuffle,2,24.65277777777778,0.11063627730294397
6,cfc,temporal_shuffle,3,23.958333333333336,0.09718309859154929
6,cfc,temporal_shuffle,4,25.0,0.1120607787274454
6,lstm,clean,-1,31.25,0.2734958223870958
6,lstm,temporal_shuffle,0,26.73611111111111,0.14244186046511628
6,lstm,temporal_shuffle,1,25.694444444444443,0.13356001360081604
6,lstm,temporal_shuffle,2,26.041666666666668,0.1312765512918727
6,lstm,temporal_shuffle,3,27.430555555555557,0.14963054187192118
6,lstm,temporal_shuffle,4,24.65277777777778,0.1287371049346212
7,shallow_convnet,clean,-1,66.66666666666666,0.6530392874644007
7,shallow_convnet,temporal_shuffle,0,31.25,0.2152332819352727
7,shallow_convnet,temporal_shuffle,1,29.166666666666668,0.19767367341707254
7,shallow_convnet,temporal_shuffle,2,30.208333333333332,0.19717851488720736
7,shallow_convnet,temporal_shuffle,3,30.208333333333332,0.2007832878713351
7,shallow_convnet,temporal_shuffle,4,29.51388888888889,0.191095947063689
7,riemann_tslr,clean,-1,66.31944444444444,0.6410440988140091
7,riemann_tslr,temporal_shuffle,0,66.31944444444444,0.6410440988140091
7,riemann_tslr,temporal_shuffle,1,66.31944444444444,0.6410440988140091
7,riemann_tslr,temporal_shuffle,2,66.31944444444444,0.6410440988140091
7,riemann_tslr,temporal_shuffle,3,66.31944444444444,0.6410440988140091
7,riemann_tslr,temporal_shuffle,4,66.31944444444444,0.6410440988140091
7,eegnet,clean,-1,35.41666666666667,0.2886441293855951
7,eegnet,temporal_shuffle,0,33.33333333333333,0.24021198024931786
7,eegnet,temporal_shuffle,1,30.90277777777778,0.22112034491070004
7,eegnet,temporal_shuffle,2,32.29166666666667,0.22668497189482592
7,eegnet,temporal_shuffle,3,32.98611111111111,0.24378192848020433
7,eegnet,temporal_shuffle,4,32.98611111111111,0.24166666666666667
7,cfc,clean,-1,32.29166666666667,0.2487960243847008
7,cfc,temporal_shuffle,0,29.51388888888889,0.19252368582522533
7,cfc,temporal_shuffle,1,30.555555555555557,0.20884105015689397
7,cfc,temporal_shuffle,2,29.51388888888889,0.1903945451754805
7,cfc,temporal_shuffle,3,29.86111111111111,0.19455827897680616
7,cfc,temporal_shuffle,4,27.083333333333332,0.15663919413919414
