subject,model,perturbation_type,level,seed,accuracy,f1
1,cfc,band_limited_noise,10.0,3,47.22222222222222,0.45356615309823867
1,cfc,band_limited_noise,5.0,3,41.31944444444444,0.37198267607649615
1,cfc,band_limited_noise,0.0,3,25.0,0.1261952861952862
1,cfc,channel_dropout,0.1,3,48.26388888888889,0.4772819204657473
1,cfc,channel_dropout,0.3,3,44.44444444444444,0.44221226875346287
1,cfc,channel_dropout,0.5,3,32.98611111111111,0.31537623342612287
1,cfc,band_limited_noise,20.0,4,48.61111111111111,0.48298966037024826
1,cfc,band_limited_noise,10.0,4,50.0,0.4816732260017263
1,cfc,band_limited_noise,5.0,4,42.36111111111111,0.38933909818453205
1,cfc,band_limited_noise,0.0,4,25.0,0.12525181305398872
1,cfc,channel_dropout,0.1,4,46.52777777777778,0.4679799284500912
1,cfc,channel_dropout,0.3,4,44.09722222222222,0.43805630634402115
1,cfc,channel_dropout,0.5,4,36.45833333333333,0.344294853640648
1,gru,band_limited_noise,20.0,0,51.736111111111114,0.5010042181743027
1,gru,band_limited_noise,10.0,0,51.041666666666664,0.49439249290213605
1,gru,band_limited_noise,5.0,0,49.30555555555556,0.46984513444519144
1,gru,band_limited_noise,0.0,0,38.54166666666667,0.3313988127168044
1,gru,channel_dropout,0.1,0,50.34722222222222,0.496918544315354
1,gru,channel_dropout,0.3,0,32.63888888888889,0.27886382623224726
1,gru,channel_dropout,0.5,0,25.694444444444443,0.1481872478076998
1,gru,band_limited_noise,20.0,1,51.041666666666664,0.4947508509765809
1,gru,band_limited_noise,10.0,1,50.0,0.48021515711021745
1,gru,band_limited_noise,5.0,1,47.91666666666667,0.4590404679668237
1,gru,band_limited_noise,0.0,1,40.27777777777778,0.34980774739545784
1,gru,channel_dropout,0.1,1,51.041666666666664,0.5061854930275983
1,gru,channel_dropout,0.3,1,32.63888888888889,0.27373147427046224
1,gru,channel_dropout,0.5,1,28.819444444444443,0.18015584016498354
1,gru,band_limited_noise,20.0,2,50.34722222222222,0.4865951842605241
1,gru,band_limited_noise,10.0,2,49.65277777777778,0.4787220944858518
1,gru,band_limited_noise,5.0,2,50.69444444444444,0.47946386579442346
1,gru,band_limited_noise,0.0,2,37.5,0.3209025632242707
1,gru,channel_dropout,0.1,2,49.30555555555556,0.489811660726305
1,gru,channel_dropout,0.3,2,37.5,0.3373944038188999
1,gru,channel_dropout,0.5,2,24.305555555555554,0.13799928111943616
1,gru,band_limited_noise,20.0,3,50.0,0.48307396290269666
1,gru,band_limited_noise,10.0,3,49.30555555555556,0.4744902084490907
1,gru,band_limited_noise,5.0,3,46.875,0.4394618296221364
1,gru,band_limited_noise,0.0,3,36.45833333333333,0.3090272838337296
1,gru,channel_dropout,0.1,3,51.388888888888886,0.5063420841524868
1,gru,channel_dropout,0.3,3,35.06944444444444,0.30997095010252906
1,gru,channel_dropout,0.5,3,25.34722222222222,0.1416469520720125
1,gru,band_limited_noise,20.0,4,51.388888888888886,0.49827197773714427
1,gru,band_limited_noise,10.0,4,49.30555555555556,0.4720573163150437
1,gru,band_limited_noise,5.0,4,51.736111111111114,0.49476992645597295
1,gru,band_limited_noise,0.0,4,38.54166666666667,0.32959547948709345
1,gru,channel_dropout,0.1,4,48.26388888888889,0.47175122121183943
