subject,channel,channel_index,tau_sensitivity_mean,tau_sensitivity_std
7,C4,11,0.010460683144629002,0.0058719199150800705
7,C6,12,0.008675167337059975,0.01357389334589243
7,CP3,13,0.0034470446407794952,0.0069986190646886826
7,CP1,14,0.005596378818154335,0.009613600559532642
7,CPz,15,0.010482493788003922,0.009303170256316662
7,CP2,16,0.008655473589897156,0.00943631213158369
7,CP4,17,0.006027550436556339,0.005646887235343456
7,P1,18,0.004601346328854561,0.00884147547185421
7,Pz,19,0.001766072353348136,0.0023633057717233896
7,P2,20,0.005329749546945095,0.00908481702208519
7,POz,21,0.029097745195031166,0.026301883161067963
8,Fz,0,0.02801833488047123,0.0336005799472332
8,FC3,1,0.008675108663737774,0.01615220122039318
8,FC1,2,0.019516633823513985,0.02767542004585266
8,FCz,3,0.02652699686586857,0.03048679046332836
8,FC2,4,0.011940333992242813,0.016662199050188065
8,FC4,5,0.022577354684472084,0.028840720653533936
8,C5,6,0.02504042536020279,0.02595064602792263
8,C3,7,0.008176833391189575,0.012746520340442657
8,C1,8,0.0294821634888649,0.029498975723981857
8,Cz,9,0.04417915269732475,0.03726310282945633
8,C2,10,0.021218210458755493,0.02782532386481762
8,C4,11,0.030130067840218544,0.03614936023950577
8,C6,12,0.02348594181239605,0.03288382664322853
8,CP3,13,0.01514226384460926,0.018687089905142784
8,CP1,14,0.053562428802251816,0.045631397515535355
8,CPz,15,0.05851725861430168,0.04964584484696388
8,CP2,16,0.06775713711977005,0.06059664115309715
8,CP4,17,0.07929039746522903,0.07115405797958374
8,P1,18,0.030785836279392242,0.028170106932520866
8,Pz,19,0.07034420222043991,0.049253083765506744
8,P2,20,0.03049694560468197,0.025809383019804955
8,POz,21,0.05109482258558273,0.04799221083521843
9,Fz,0,0.008588533848524094,0.011279139667749405
9,FC3,1,0.005744341295212507,0.008716156706213951
9,FC1,2,0.005502762272953987,0.008412717841565609
9,FCz,3,0.00593101792037487,0.008868889883160591
9,FC2,4,0.010430403985083103,0.013580887578427792
9,FC4,5,0.005950588267296553,0.009773432277143002
9,C5,6,0.005053838714957237,0.007157153449952602
9,C3,7,0.00773845287039876,0.010251096449792385
9,C1,8,0.002565632341429591,0.003925831988453865
9,Cz,9,0.010379333049058914,0.013363688252866268
9,C2,10,0.006148049607872963,0.008119198493659496
9,C4,11,0.03792336583137512,0.03289365768432617
9,C6,12,0.023225191980600357,0.022915339097380638
9,CP3,13,0.013239285908639431,0.01290455088019371
9,CP1,14,0.010677124373614788,0.01094834879040718
9,CPz,15,0.007010395172983408,0.008724227547645569
9,CP2,16,0.010240593925118446,0.012646281160414219
9,CP4,17,0.0567074678838253,0.04447590559720993
9,P1,18,0.011496161110699177,0.012415398843586445
9,Pz,19,0.0056280395947396755,0.006045655347406864
9,P2,20,0.003542905440554023,0.005044123157858849
9,POz,21,0.012661918997764587,0.01740056835114956
